treatment,geno,tag,beaker,tank,robot,ta,ta_dev,gr_leios,gr_t0t1,gr_t1t2,gr_t2t3,gr_t0t3,gr_t1t3
HI,S,SI_3,1,1,armand,4256.660279,560.1914433,0.093428,0.1834375,0.131388889,-0.0396,0.096040816,0.053666667
XHI,C,C_2,2,1,armand,4421.385302,491.6422991,0.1459,0.1485,0.172666667,-0.491333333,0.108378378,0.077809524
HI,C,C_10,4,1,armand,3957.268908,889.3885508,0.116402,0.26475,0.152222222,-0.0176,0.136979592,0.075030303
ELEV,C,C_4,5,1,armand,3558.797713,288.4943725,0.083693023,0.196,0.0835,-0.20425,0.071547619,0
HI,M,M9_7,6,1,armand,3931.188606,865.8687823,0.093086,0.1970625,0.151666667,-0.095,0.090979592,0.039545455
AMB,C,C_18,7,1,armand,2462.587801,136.4088801,0.036811628,0.132375,0.010611111,-0.05225,0.04502381,0
ELEV,S,SI_14,8,1,armand,3615.083969,146.6705651,0.030104,0.180625,0.033111111,0.052666667,0.087265306,0.042
XHI,S,SI_10,9,1,armand,4405.725924,788.67771,0.069666,0.154625,0.050277778,0.011533333,0.072489796,0.032666667
AMB,M,M9_3,10,1,armand,2438.992705,139.3166635,-0.011426,0.0884375,-0.0595,0.094066667,0.035816327,0.01030303
AMB,C,C_7,12,1,armand,2434.278764,116.7556859,0.094277778,0.2353125,0.073222222,-0.0149,0.112136364,0.04175
ELEV,C,C_9,14,2,armand,3585.436936,279.1832119,0.108258,0.183125,0.105833333,-0.0296,0.089612245,0.044272727
HI,C,C_1,15,2,armand,3969.127675,941.0207377,0.045044,0.1645625,0.099055556,0.086266667,0.116530612,0.093242424
AMB,C,C_8,16,2,armand,2417.34794,94.46556224,0.070216,0.1815625,0.039111111,-0.007666667,0.071306122,0.017848485
XHI,C,C_5,17,2,armand,4214.369662,929.12096,0.117442,0.12175,0.178166667,0.000933333,0.105489796,0.097606061
ELEV,M,M9_2,18,2,armand,3487.566611,363.7417254,0.201791111,0.350375,0.087722222,-0.0641,0.148727273,0.0335
HI,S,SI_8,19,2,armand,4338.794142,364.2143888,0.064086,0.1921875,0.026888889,0.042266667,0.085571429,0.033878788
XHI,S,SI_7,20,2,armand,4444.560867,440.592115,0.106938,0.250875,0.029611111,0.020066667,0.098938776,0.025272727
AMB,S,SI_6,21,2,armand,2413.734224,92.86013644,0.03205,0.13475,0.013388889,0.047866667,0.063571429,0.029060606
ELEV,S,SI_1,23,2,armand,3512.426022,345.8007747,0.009684,0.1255625,0.029611111,0.012333333,0.055653061,0.021757576
XHI,M,M9_9,24,2,armand,4351.278887,721.5447503,0.016026,0.2085,0.053111111,0.0208,0.093959184,0.038424242
HI,S,SI_2,25,3,armanda,4139.379614,731.5588296,0.020902,0.1075,0.100277778,-0.010266667,0.068795918,0.050030303
XHI,M,M9_1,26,3,armanda,4362.231101,787.959075,0.089818,0.1714375,0.070666667,0.026866667,0.090163265,0.050757576
ELEV,M,M9_8,28,3,armanda,3777.085491,130.9787349,0.105286,0.1495625,0.207777778,-0.015933333,0.120285714,0.106090909
XHI,S,SI_5,29,3,armanda,4462.241391,728.8187005,0.066506,0.1609375,0.074611111,0.028266667,0.088612245,0.053545455
HI,C,C_3,30,3,armanda,4306.448724,659.4737513,0.137914,0.219875,0.108833333,0.058333333,0.129632653,0.085878788
AMB,M,M9_4,31,3,armanda,2578.657786,272.4337856,0.02185,0.094625,0.013444444,0.029866667,0.044979592,0.020909091
AMB,S,SI_4,32,3,armanda,2432.592735,98.05458597,0.0582338,0.175375,0.009333333,-0.0656,0.040612245,0
ELEV,S,SI_11,34,3,armanda,3764.401522,115.3195249,0.018236,0.0874375,-0.003333333,0.0202,0.033510204,0.007363636
AMB,C,C_13,35,3,armanda,2460.614308,143.7416075,0.076652,0.1326875,0.085111111,0.003466667,0.075653061,0.048
XHI,C,C_15,36,3,armanda,4248.561147,692.1067198,0.106844,0.157,0.16,0.0102,0.113163265,0.091909091
HI,C,C_6,37,4,armanda,4315.375608,754.6849711,0.007444,0.077125,0.018111111,-0.0354,0.021,0
AMB,C,C_12,38,4,armanda,2496.725988,215.8217115,0.083158,0.08425,0.076111111,0.067666667,0.076183673,0.072272727
AMB,S,SI_9,39,4,armanda,2432.892174,68.02469137,0.088616,0.0790625,0.038166667,0.037466667,0.051306122,0.037848485
HI,M,M9_5,41,4,armanda,4179.740216,712.584564,0.017452,0.0000625,0.029277778,0.0146,0.015244898,0.022606061
XHI,M,M9_6,42,4,armanda,4635.869268,693.883773,0.116467,0.03525,0.182888889,0.070066667,0.100142857,0.131606061
ELEV,S,SI_12,43,4,armanda,3698.741832,479.601011,0.10791,0.200125,0.093166667,0.0076,0.101897959,0.054272727
ELEV,C,C_11,45,4,armanda,3571.481952,461.9381086,0.144068421,0.246875,0.143277778,-0.199666667,0.16027027,0.094285714
HI,S,SI_15,46,4,armanda,4212.220875,860.6591083,0.085336,0.17025,0.050222222,0.0374,0.085489796,0.044393939
ELEV,C,C_14,47,4,armanda,3654.401256,494.5403333,0.146688,0.1643125,0.074222222,0.093133333,0.109428571,0.082818182
XHI,C,C_16,48,4,armanda,4423.893306,637.7832554,0.023298,0.1249375,0.092444444,-0.175333333,0.021081633,0
