treatment,geno,tag,beaker,tank,robot,ta,ta_dev,vol_init,sa_init,gr_t0t1,gr_t1t2,gr_t2t3,gr_t0t3,gr_t1t3
HI,S,SI_3,1,1,armand,4256.660279,560.1914433,3223.9,2594.7,8.154517324,7.683294692,3.81072522,7.354516909,6.162590681
XHI,C,C_2,2,1,armand,4421.385302,491.6422991,2845,1906.9,4.780169453,5.861637004,-3.33525752,4.814982145,4.497523323
HI,C,C_10,4,1,armand,3957.268908,889.3885508,3060.9,2306.7,9.144763329,8.119679561,3.286056149,7.726861378,6.140883016
ELEV,C,C_4,5,1,armand,3558.797713,288.4943725,2840,1939.1,6.888988483,6.061989964,2.465037279,6.086898036,5.037996695
HI,M,M9_7,6,1,armand,3931.188606,865.8687823,3548.3,2490.8,7.263798368,5.233214922,1.51006294,5.082275379,3.605529799
AMB,C,C_18,7,1,armand,2462.587801,136.4088801,2779.6,2107.9,6.750405485,1.970264895,0.1044210256,3.530002387,1.397298556
ELEV,S,SI_14,8,1,armand,3615.083969,146.6705651,2967.1,2335.2,4.299414024,5.413499194,3.993842709,4.963360172,4.945097136
XHI,S,SI_10,9,1,armand,4405.725924,788.67771,1778.7,1339.4,7.432975871,11.02165996,5.598208573,9.255348252,9.061285657
AMB,M,M9_3,10,1,armand,2438.992705,139.3166635,5580.9,2601.8,1.767884479,1.565258181,0.4293360419,1.307480289,1.054428296
AMB,C,C_7,12,1,armand,2434.278764,116.7556859,3615,2325.5,3.330511018,3.437032213,-2.556633064,2.042200276,1.239948134
ELEV,C,C_9,14,2,armand,3585.436936,279.1832119,2135.6,1556.7,9.004324547,6.81994544,2.58646488,6.823454258,5.03995968
HI,C,C_1,15,2,armand,3969.127675,941.0207377,2657.1,2100.1,9.694063473,7.976113087,4.744946582,8.468583219,6.817052016
AMB,C,C_8,16,2,armand,2417.34794,94.46556224,2685.4,2176.4,6.463125116,3.269252263,2.093559227,4.184321567,2.790845755
XHI,C,C_5,17,2,armand,4214.369662,929.12096,2906.9,1997.1,7.288273616,7.06599248,5.32969446,7.331709705,6.584889952
ELEV,M,M9_2,18,2,armand,3487.566611,363.7417254,3451.8,2181.4,7.710273897,5.585443298,1.601040452,5.820429847,4.219929915
HI,S,SI_8,19,2,armand,4338.794142,364.2143888,2758.3,1950.4,7.106372743,5.112872808,2.55944902,5.365098102,4.059294028
XHI,S,SI_7,20,2,armand,4444.560867,440.592115,3819.2,2263.1,5.597277516,3.947163374,2.830329554,4.418609041,3.530917054
AMB,S,SI_6,21,2,armand,2413.734224,92.86013644,3405.9,2116.5,3.822080854,3.15864114,1.859103385,3.117553198,2.615987764
ELEV,S,SI_1,23,2,armand,3512.426022,345.8007747,2760.8,2343.4,8.739751432,7.475277984,2.874777767,7.121875299,5.559966855
XHI,M,M9_9,24,2,armand,4351.278887,721.5447503,4563.9,2419.4,4.356806968,4.232624055,3.329210176,4.259106696,3.937273797
HI,S,SI_2,25,3,armanda,4139.379614,731.5588296,2637.1,1935.2,5.071950042,9.896385587,5.835820189,7.862080515,8.523202898
XHI,M,M9_1,26,3,armanda,4362.231101,787.959075,3909.5,2585.1,4.157151013,4.892338806,3.56703567,4.541296964,4.432710402
ELEV,M,M9_8,28,3,armanda,3777.085491,130.9787349,1846.1,1323.5,4.735389301,9.015120234,3.202395453,6.334572664,6.609181534
XHI,S,SI_5,29,3,armanda,4462.241391,728.8187005,3288.2,2521.2,5.984628545,9.893599125,4.672021419,7.782801025,7.898343771
HI,C,C_3,30,3,armanda,4306.448724,659.4737513,3050.8,2227.3,5.192144674,6.333884106,3.787665886,5.614407391,5.372799216
AMB,M,M9_4,31,3,armanda,2578.657786,272.4337856,1366,984.59,2.797324712,2.076591154,1.037279676,2.054530447,1.62180053
AMB,S,SI_4,32,3,armanda,2432.592735,98.05458597,4162.8,2739.7,1.706410294,2.492766735,0.5808709456,1.688775658,1.635570269
ELEV,S,SI_11,34,3,armanda,3764.401522,115.3195249,1387,1005.7,2.995207668,7.051089029,5.03006012,5.510759504,6.422627358
AMB,C,C_13,35,3,armanda,2460.614308,143.7416075,1989.8,1628,5.608143154,7.208207732,3.41534659,6.003895334,5.685604258
XHI,C,C_15,36,3,armanda,4248.561147,692.1067198,2858.1,1866.5,5.537931782,9.118583091,2.775638283,6.531586117,6.442507264
HI,C,C_6,37,4,armanda,4315.375608,754.6849711,2980.8,2257.3,3.938133812,3.861839852,4.924036405,4.50766505,4.500240612
