Date,bottle_samp,beaker,tank,arm,pump,tp,coral,sal,dic,ta_rep1,ta_rep2,calc_avg_ta,treat,temp,dbar
2/7/2024,160,7,1,Armand,1,T0,C18,35.59860051,1977.861481,2287.012069,2290.978309,2288.995189,AMB,27,1
2/7/2024,163,10,1,Armand,1,T0,M3,35.62515188,1993.844627,2303.729389,2306.992753,2305.361071,AMB,27,1
2/7/2024,165,12,1,Armand,1,T0,C7,35.6798341,1997.101906,2334.304194,2332.680332,2333.492263,AMB,27,1
2/7/2024,169,16,2,Armand,1,T0,C8,35.60418805,1977.632217,2285.717652,2286.096118,2285.906885,AMB,27,1
2/7/2024,174,21,2,Armand,1,T0,S6,35.73496228,1995.771511,2305.843566,2301.186456,2303.515011,AMB,27,1
2/7/2024,184,31,3,Armanda,1,T0,M4,35.73234162,2105.350394,2423.576375,2422.270166,2422.923271,AMB,27,1
2/7/2024,185,32,3,Armanda,1,T0,S4,35.67231962,2029.888951,2325.076902,2327.488455,2326.282679,AMB,27,1
2/7/2024,188,35,3,Armanda,1,T0,C13,35.69424613,2009.944888,2334.02051,2335.026304,2334.523407,AMB,27,1
2/7/2024,191,38,4,Armanda,1,T0,C12,35.60087447,2030.128356,2367.538113,2366.493708,2367.015911,AMB,27,1
2/7/2024,192,39,4,Armanda,1,T0,S9,35.66969922,2046.970828,2382.901897,2384.628351,2383.765124,AMB,27,1
2/13/2024,262,7,1,Armand,1,T2,C18,34.88216836,2099.371413,2392.665876,2390.394486,2391.530181,AMB,27,1
2/13/2024,265,10,1,Armand,1,T2,M3,34.92146791,2107.009314,2409.456135,2412.150711,2410.803423,AMB,27,1
2/13/2024,267,12,1,Armand,1,T2,C7,34.80572886,2111.206732,2407.459541,2408.613808,2408.036675,AMB,27,1
2/13/2024,271,16,2,Armand,1,T2,C8,34.77164739,2031.085159,2362.257864,2354.393072,2358.325468,AMB,27,1
2/13/2024,276,21,2,Armand,1,T2,S6,34.87754828,2066.702915,2400.108657,2397.150864,2398.629761,AMB,27,1
2/13/2024,286,31,3,Armanda,1,T2,M4,34.69989483,2184.031623,2490.903671,2489.995174,2490.449423,AMB,27,1
2/13/2024,287,32,3,Armanda,1,T2,S4,34.72838924,2164.198154,2469.085096,2470.017566,2469.551331,AMB,27,1
2/13/2024,290,35,3,Armanda,1,T2,C13,34.69685948,2141.418464,2475.809001,2475.409675,2475.609338,AMB,27,1
2/13/2024,293,38,4,Armanda,1,T2,C12,34.66939922,2172.38984,2475.545085,2475.923151,2475.734118,AMB,27,1
2/13/2024,294,39,4,Armanda,1,T2,S9,34.69299545,2186.771476,2483.042616,2487.804596,2485.423606,AMB,27,1
2/20/2024,356,7,1,Armand,1,T4,C18,33.97303266,2368.628468,2743.708407,2743.341179,2743.524793,AMB,27,1
2/20/2024,357,10,1,Armand,1,T4,M3,34.07533336,2386.109378,2769.425925,2769.006892,2769.216409,AMB,27,1
2/20/2024,358,12,1,Armand,1,T4,C7,34.04385681,2346.108062,2706.737837,2706.587598,2706.662718,AMB,27,1
2/20/2024,360,16,2,Armand,1,T4,C8,34.06056288,2103.261075,2548.633535,2546.973415,2547.803475,AMB,27,1
2/20/2024,361,21,2,Armand,1,T4,S6,34.06518504,2238.84364,2622.236724,2627.128588,2624.682656,AMB,27,1
2/20/2024,362,31,3,Armanda,1,T4,M4,34.28264058,2179.828589,2524.180544,2524.713789,2524.447167,AMB,27,1
2/20/2024,363,32,3,Armanda,1,T4,S4,34.23401951,2090.991947,2400.924807,2397.424376,2399.174592,AMB,27,1
