order,geno,tag,treatment,beaker,tank,robot,ta,ta_dev,ta_se,gr_sa,gr_mass
1,S,SI_3,HI,1,1,armand,4150.734536,692.4018553,261.7033023,0.815335071,6.189649484
2,C,C_2,XHI,2,1,armand,4158.568037,352.116554,133.0875478,0.6864946748,4.539105405
3,C,C_10,HI,4,1,armand,3726.882707,1063.358986,401.9119188,0.8174546347,6.168521828
4,C,C_4,ELEV,5,1,armand,3561.172002,369.3023074,139.583152,0.8199757349,5.07270353
5,M,M9_7,HI,6,1,armand,3685.307092,1020.552183,385.732468,0.5478074642,3.632584313
6,C,C_18,AMB,7,1,armand,2532.82053,111.5472629,42.16090242,0.1562742643,1.429100599
7,S,SI_14,ELEV,8,1,armand,3628.795871,184.0782872,69.57505281,0.7087555599,4.971829072
8,S,SI_10,XHI,9,1,armand,4142.940629,816.0281279,308.4296413,1.086184073,9.091139282
9,M,M9_3,AMB,10,1,armand,2490.33434,145.748066,55.08759096,0.286180916,1.078721244
10,C,C_7,AMB,12,1,armand,2478.582649,121.8543133,46.05660132,0.2056957866,1.269432691
11,C,C_9,ELEV,14,2,armand,3682.331252,280.4020534,105.9820143,0.6919143352,5.054578851
12,C,C_1,HI,15,2,armand,3654.306256,1059.254093,400.3604149,0.8702259878,6.832406258
13,C,C_8,AMB,16,2,armand,2469.389377,63.34616152,23.94259855,0.3539089487,2.805618965
14,C,C_5,XHI,17,2,armand,3705.582615,865.1254657,326.9866907,0.9561610313,6.601356835
15,M,M9_2,ELEV,18,2,armand,3477.38748,466.3713119,176.2717871,0.6039261937,4.238031291
16,S,SI_8,HI,19,2,armand,4272.861468,442.071307,167.0872486,0.6308973334,4.075747625
17,S,SI_7,XHI,20,2,armand,4306.543381,426.5336593,161.2145698,0.6515370466,3.54711765
18,S,SI_6,AMB,21,2,armand,2455.424258,85.50202564,32.31672806,0.493247718,2.631750267
19,S,SI_1,ELEV,23,2,armand,3512.426022,444.7608486,168.1037998,0.6396728398,5.577732018
20,M,M9_9,XHI,24,2,armand,4240.972453,795.130522,300.5310887,0.8099742077,3.95423514
21,S,SI_2,HI,25,3,armanda,3844.115014,774.9179125,292.8914404,1.213547016,8.542435936
22,M,M9_1,XHI,26,3,armanda,3918.617511,662.725109,250.4865466,0.5919972087,4.449917165
23,M,M9_8,ELEV,28,3,armanda,3804.295301,150.1095054,56.7360601,0.8684047565,6.628326215
24,S,SI_5,XHI,29,3,armanda,4158.330123,704.8512502,266.4087313,1.018419197,7.918157081
25,C,C_3,HI,30,3,armanda,4143.523005,786.8221749,297.3908287,0.7117226387,5.391302641
26,M,M9_4,AMB,31,3,armanda,2642.307672,329.8828284,124.6839894,0.210038513,1.635837583
27,S,SI_4,AMB,32,3,armanda,2450.238746,108.6150855,41.05264354,0.3267299175,1.649613377
28,S,SI_11,ELEV,34,3,armanda,3747.278124,132.842891,50.20989327,0.8698800855,6.43877529
29,C,C_13,AMB,35,3,armanda,2494.063199,165.6393617,62.60579405,0.5644328376,5.701428128
30,C,C_15,XHI,36,3,armanda,3943.129999,663.7890741,250.8886876,1.065754584,6.458663938
31,C,C_6,HI,37,4,armanda,4095.017936,862.4295538,325.9677318,0.5278599775,4.517726278
32,C,C_12,AMB,38,4,armanda,2541.805172,263.1091336,99.44590502,0.4331455002,2.78363113
33,S,SI_9,AMB,39,4,armanda,2432.38228,72.8178656,27.5225662,0.6493785174,4.023519504
34,M,M9_5,HI,41,4,armanda,3873.140008,714.979644,270.2369043,0.6252057736,5.734900715
35,M,M9_6,XHI,42,4,armanda,4538.114808,804.0397085,303.8984447,0.7876196865,7.393831346
36,S,SI_12,ELEV,43,4,armanda,3666.867291,614.5724214,232.2865414,0.656715113,4.469819075
37,C,C_11,ELEV,45,4,armanda,3485.849266,572.4533682,216.3670356,0.7221843599,4.490892526
38,S,SI_15,HI,46,4,armanda,3916.092181,962.3473977,363.733127,0.6171853363,4.557499455
39,C,C_14,ELEV,47,4,armanda,3591.458764,625.2434467,236.3198098,0.5681560343,3.875035576
40,C,C_16,XHI,48,4,armanda,4373.475204,771.5468444,291.6172965,0.609299183,4.396710748
