Date,bottle_samp,beaker,tank,arm,pump,tp,coral,sal,dic,ta_rep1,ta_rep2,calc_avg_ta,treat,temp,dbar
2/7/2024,154,1,1,Armand,1,T0,S3,35.2805284,3604.990019,4516.446421,4514.628836,4515.537629,HI,27,1
2/7/2024,157,4,1,Armand,1,T0,C10,35.27135502,3327.32901,4431.997152,4430.193669,4431.095411,HI,27,1
2/7/2024,159,6,1,Armand,1,T0,M7,35.44660537,3674.109514,4580.29863,4581.802558,4581.050594,HI,27,1
2/7/2024,168,15,2,Armand,1,T0,C1,35.11629797,3551.278193,4634.855642,4633.669595,4634.262619,HI,27,1
2/7/2024,172,19,2,Armand,1,T0,S8,35.28183888,3710.184449,4623.823801,4628.674945,4626.249373,HI,27,1
2/7/2024,178,25,3,Armanda,1,T0,S2,35.37191348,3836.531851,4802.602782,4806.6773,4804.640041,HI,27,1
2/7/2024,183,30,3,Armanda,1,T0,C3,35.41777728,3774.287462,4746.743452,4752.373861,4749.558657,HI,27,1
2/7/2024,190,37,4,Armanda,1,T0,C6,35.26969859,3141.303101,4925.281027,4928.966282,4927.123655,HI,27,1
2/7/2024,194,41,4,Armanda,1,T0,M5,35.34963636,3151.128491,4816.255498,4818.859729,4817.557614,HI,27,1
2/7/2024,199,46,4,Armanda,1,T0,S15,35.33653205,3104.243181,4813.889439,4824.508928,4819.199184,HI,27,1
2/13/2024,256,1,1,Armand,1,T2,S3,34.54127023,3708.139711,4495.135944,4504.396801,4499.766373,HI,27,1
2/13/2024,259,4,1,Armand,1,T2,C10,34.53864822,3666.008457,4443.222349,4438.511835,4440.867092,HI,27,1
2/13/2024,261,6,1,Armand,1,T2,M7,34.69299545,3596.408541,4314.194096,4318.043175,4316.118636,HI,27,1
2/13/2024,270,15,2,Armand,1,T2,C1,34.41837629,3689.568681,4359.035383,4366.348353,4362.691868,HI,27,1
2/13/2024,274,19,2,Armand,1,T2,S8,34.50718384,3651.049983,4437.046299,4442.926836,4439.986568,HI,27,1
2/13/2024,280,25,3,Armanda,1,T2,S2,34.41506528,3757.136058,4585.790942,4587.014321,4586.402632,HI,27,1
2/13/2024,285,30,3,Armanda,1,T2,C3,34.39539884,3762.493862,4585.927169,4585.013942,4585.470556,HI,27,1
2/13/2024,292,37,4,Armanda,1,T2,C6,34.46129733,3783.461766,4629.316364,4633.725495,4631.52093,HI,27,1
2/13/2024,296,41,4,Armanda,1,T2,M5,34.43735367,3747.608546,4504.141347,4504.522267,4504.331807,HI,27,1
2/13/2024,301,46,4,Armanda,1,T2,S15,34.393121,3547.108073,4641.801491,4644.546539,4643.174015,HI,27,1
2/20/2024,380,1,1,Armand,1,T4,S3,33.92188021,3328.060062,4165.980279,4166.595877,4166.288078,HI,27,1
2/20/2024,381,4,1,Armand,1,T4,C10,34.09107143,2315.803516,2761.071182,2750.908827,2755.990005,HI,27,1
2/20/2024,382,6,1,Armand,1,T4,M7,34.09072758,2306.903337,2723.624753,2722.146492,2722.885623,HI,27,1
2/20/2024,383,15,2,Armand,1,T4,C1,34.05434905,2155.508332,2506.773129,2508.60885,2507.69099,HI,27,1
2/20/2024,384,19,2,Armand,1,T4,S8,33.92284829,3625.676831,4429.922799,4439.872452,4434.897626,HI,27,1
2/20/2024,386,25,3,Armanda,1,T4,S2,34.01403501,3786.088163,4698.275232,4701.906346,4700.090789,HI,27,1
2/20/2024,388,30,3,Armanda,1,T4,C3,34.00319883,3381.752705,4688.272155,4692.256395,4690.264275,HI,27,1
2/20/2024,389,37,4,Armanda,1,T4,C6,33.94908043,3322.104995,4791.940249,4792.57423,4792.25724,HI,27,1
2/20/2024,390,41,4,Armanda,1,T4,M5,34.1143344,3777.658819,4738.461965,4740.40619,4739.434078,HI,27,1
2/20/2024,391,46,4,Armanda,1,T4,S15,34.03205298,3681.878145,4778.322444,4779.603749,4778.963097,HI,27,1
2/27/2024,480,1,1,Armand,1,T6,S3,35.07700259,3634.196379,4496.59856,4504.000972,4500.299766,HI,27,1
2/27/2024,481,4,1,Armand,1,T6,C10,35.14083911,3634.365985,4481.258434,4481.272242,4481.265338,HI,27,1
2/27/2024,482,6,1,Armand,1,T6,M7,35.07176314,3620.106483,4362.482152,4364.426444,4363.454298,HI,27,1
2/27/2024,483,15,2,Armand,1,T6,C1,35.07734799,3878.878253,4719.042691,4722.962086,4721.002389,HI,27,1
2/27/2024,484,19,2,Armand,1,T6,S8,35.06521381,2978.312191,4436.184046,4432.356387,4434.270217,HI,27,1
2/27/2024,486,25,3,Armanda,1,T6,S2,35.01897607,3801.242509,4150.385448,4148.844571,4149.61501,HI,27,1
2/27/2024,488,30,3,Armanda,1,T6,C3,35.01313146,3805.080017,4678.041931,4680.055544,4679.048738,HI,27,1
2/27/2024,489,37,4,Armanda,1,T6,C6,35.11140409,3795.338147,4703.801884,4705.983321,4704.892603,HI,27,1
2/27/2024,490,41,4,Armanda,1,T6,M5,35.09568597,3826.175996,4732.575396,4733.877349,4733.226373,HI,27,1
2/27/2024,491,46,4,Armanda,1,T6,S15,35.06259407,3807.665246,4951.914483,4954.587859,4953.251171,HI,27,1
3/5/2024,580,1,1,Armand,1,T8,S3,33.97172108,3811.867015,4700.891282,4704.45233,4702.671806,HI,27,1
3/5/2024,581,4,1,Armand,1,T8,C10,34.12517013,3834.641596,4689.759191,4693.484243,4691.621717,HI,27,1
3/5/2024,582,6,1,Armand,1,T8,M7,34.25500179,3824.542183,4641.134886,4636.702424,4638.918655,HI,27,1
3/5/2024,583,15,2,Armand,1,T8,C1,33.97924692,3929.856606,4570.165277,4566.175826,4568.170552,HI,27,1
3/5/2024,584,19,2,Armand,1,T8,S8,34.15105552,3714.862103,4465.491963,4468.019121,4466.755542,HI,27,1
3/5/2024,586,25,3,Armanda,1,T8,S2,34.1317275,3972.417707,3341.089301,3345.52613,3343.307716,HI,27,1
3/5/2024,588,30,3,Armanda,1,T8,C3,34.15236698,3495.079015,3413.617478,3399.915603,3406.766541,HI,27,1
3/5/2024,589,37,4,Armanda,1,T8,C6,33.95826158,3778.422449,3405.758203,3405.248904,3405.503554,HI,27,1
3/5/2024,590,41,4,Armanda,1,T8,M5,34.10908847,4059.901047,3712.617287,3695.542394,3704.079841,HI,27,1
3/5/2024,591,46,4,Armanda,1,T8,S15,33.9976089,4009.910221,3423.257723,3424.807112,3424.032418,HI,27,1
3/11/2024,630,1,1,Armand,1,T9,S3,33.41552713,3234.684056,3393.764,3391.359,3392.5615,HI,27,1
3/11/2024,631,4,1,Armand,1,T9,C10,33.39847143,3234.943359,2823.717,2819.868,2821.7925,HI,27,1
3/11/2024,632,6,1,Armand,1,T9,M7,33.55196725,3449.991164,2905.13,2908.791,2906.9605,HI,27,1
3/11/2024,633,15,2,Armand,1,T9,C1,33.4168391,3520.48898,3041.076,3045.519,3043.2975,HI,27,1
3/11/2024,634,19,2,Armand,1,T9,S8,33.51426524,3494.32604,4382.085,4393.756,4387.9205,HI,27,1
3/11/2024,636,25,3,Armanda,1,T9,S2,33.48899611,3520.450609,4380.906,4380.356,4380.631,HI,27,1
3/11/2024,638,30,3,Armanda,1,T9,C3,33.47028642,3364.150206,4481.604,4487.392,4484.498,HI,27,1
3/11/2024,639,37,4,Armanda,1,T9,C6,33.60107222,3545.699572,4516.056,4517.028,4516.542,HI,27,1
3/11/2024,640,41,4,Armanda,1,T9,M5,33.59822534,3634.458922,3189.44,3179.132,3184.286,HI,27,1
3/11/2024,641,46,4,Armanda,1,T9,S15,33.6506985,3553.083722,3040.72,3041.585,3041.1525,HI,27,1
3/19/2024,679,1,1,Armand,1,T10,S3,32.60455614,3307.778463,4965.716,4974.957,4970.3365,HI,27,1
3/19/2024,680,4,1,Armand,1,T10,C10,32.77780211,3654.878086,4909.587,4913.705,4911.646,HI,27,1
3/19/2024,681,6,1,Armand,1,T10,M7,32.69643095,3816.108712,4908.143,4909.584,4908.8635,HI,27,1
3/19/2024,682,15,2,Armand,1,T10,C1,32.61374382,4191.876339,4947.978,4953.109,4950.5435,HI,27,1
3/19/2024,683,19,2,Armand,1,T10,S8,32.73449208,3927.537315,4825.179,4824.458,4824.8185,HI,27,1
3/19/2024,685,25,3,Armanda,1,T10,S2,32.18649488,3348.641437,3569.34,3575.37,3572.355,HI,27,1
3/19/2024,687,30,3,Armanda,1,T10,C3,32.2409515,3988.986941,4225.3,4219.203,4222.2515,HI,27,1
3/19/2024,688,37,4,Armanda,1,T10,C6,32.3801007,3856.593461,4809.752,4813.828,4811.79,HI,27,1
3/19/2024,689,41,4,Armanda,1,T10,M5,32.25933027,3577.931512,3497.059,3496.948,3497.0035,HI,27,1
3/19/2024,690,46,4,Armanda,1,T10,S15,32.32924608,4008.096889,4956.113,4964.632,4960.3725,HI,27,1
