treatment,geno,tag,imj_end,leios_end,beaker,ta,ta_dev,leios_mmday
HI,S,SI_3,0.0102664167,0.02580441026,1,4256.660279,560.1914433,0.1415575758
XHI,C,C_2,0.01724845909,0.05602585666,2,4421.385302,491.6422991,0.2640095238
HI,C,C_10,0.01576531834,0.0356970574,4,3957.268908,889.3885508,0.1763666667
ELEV,C,C_4,-0.001170700669,0.0317377671,5,3558.797713,288.4943725,0.1384153846
HI,M,M9_7,0.009828376217,0.03351083427,6,3931.188606,865.8687823,0.1410393939
AMB,C,C_18,-0.001911707736,0.01245433385,7,2462.587801,136.4088801,0.06088076923
ELEV,S,SI_14,0.01091022444,0.01160353946,8,3615.083969,146.6705651,0.04561212121
XHI,S,SI_10,0.01043730164,0.03113290137,9,4405.725924,788.67771,0.1055545455
AMB,M,M9_3,0.001826746033,-0.00313888095,10,2438.992705,139.3166635,-0.01731212121
AMB,C,C_7,0.01045605951,0.03519431409,12,2434.278764,116.7556859,0.1515178571
ELEV,C,C_9,0.01059206835,0.03687389936,14,3585.436936,279.1832119,0.1640272727
HI,C,C_1,0.01911097033,0.01321832999,15,3969.127675,941.0207377,0.06824848485
AMB,C,C_8,0.003398222655,0.0188425193,16,2417.34794,94.46556224,0.1063878788
XHI,C,C_5,0.02239492947,0.03785356656,17,4214.369662,929.12096,0.1779424242
ELEV,M,M9_2,0.007422177911,0.07527461815,18,3487.566611,363.7417254,0.3243071429
HI,S,SI_8,0.007852309162,0.02123365107,19,4338.794142,364.2143888,0.0971
XHI,S,SI_7,0.005739106021,0.03575158874,20,4444.560867,440.592115,0.1620272727
AMB,S,SI_6,0.0068011435,0.01037506726,21,2413.734224,92.86013644,0.04856060606
ELEV,S,SI_1,0.004451040415,0.002658372457,23,3512.426022,345.8007747,0.01467272727
XHI,M,M9_9,0.00873734962,0.005094960643,24,4351.278887,721.5447503,0.02428181818
HI,S,SI_2,0.01070922855,0.006058484345,25,4139.379614,731.5588296,0.03166969697
XHI,M,M9_1,0.0098508667,0.02485859457,26,4362.231101,787.959075,0.1360878788
ELEV,M,M9_8,0.03241990866,0.04734401625,28,3777.085491,130.9787349,0.1595242424
XHI,S,SI_5,0.01216637989,0.02098365663,29,4462.241391,728.8187005,0.1007666667
HI,C,C_3,0.01849201953,0.04229269758,30,4306.448724,659.4737513,0.2089606061
AMB,M,M9_4,0.007899165436,0.01117979651,31,2578.657786,272.4337856,0.03310606061
AMB,S,SI_4,-0.005486780289,0.01792246506,32,2432.592735,98.05458597,0.0882330303
ELEV,S,SI_11,0.002778416166,0.009477135086,34,3764.401522,115.3195249,0.02763030303
AMB,C,C_13,0.0109504038,0.02431652983,35,2460.614308,143.7416075,0.1161393939
XHI,C,C_15,0.02250853254,0.03609376081,36,4248.561147,692.1067198,0.1618848485
HI,C,C_6,-0.001299144909,0.002097430906,37,4315.375608,754.6849711,0.01127878788
AMB,C,C_12,0.01740714547,0.02811039389,38,2496.725988,215.8217115,0.1259969697
AMB,S,SI_9,0.01137821214,0.04029382078,39,2432.892174,68.02469137,0.1342666667
HI,M,M9_5,0.008544453493,0.008705554136,41,4179.740216,712.584564,0.02644242424
XHI,M,M9_6,0.04155149831,0.05051936477,42,4635.869268,693.883773,0.1764651515
ELEV,S,SI_12,0.01339968083,0.03848525791,43,3698.741832,479.601011,0.1635
ELEV,C,C_11,0.02039447866,0.05394178197,45,3571.481952,461.9381086,0.2606952381
HI,S,SI_15,0.01312110285,0.03631661916,46,4212.220875,860.6591083,0.1292969697
ELEV,C,C_14,0.01905004872,0.04704636284,47,3654.401256,494.5403333,0.2222545455
XHI,C,C_16,-0.006570905581,0.00737085859,48,4423.893306,637.7832554,0.0353
