treatment,geno,tag,gr_mid,gr_end
HI,S,SI_3,7.683294692,6.162590681
XHI,C,C_2,5.861637004,4.497523323
HI,C,C_10,8.119679561,6.140883016
ELEV,C,C_4,6.061989964,5.037996695
HI,M,M9_7,5.233214922,3.605529799
AMB,C,C_18,1.970264895,1.397298556
ELEV,S,SI_14,5.413499194,4.945097136
XHI,S,SI_10,11.02165996,9.061285657
AMB,M,M9_3,1.565258181,1.054428296
AMB,C,C_7,3.437032213,1.239948134
ELEV,C,C_9,6.81994544,5.03995968
HI,C,C_1,7.976113087,6.817052016
AMB,C,C_8,3.269252263,2.790845755
XHI,C,C_5,7.06599248,6.584889952
ELEV,M,M9_2,5.585443298,4.219929915
HI,S,SI_8,5.112872808,4.059294028
XHI,S,SI_7,3.947163374,3.530917054
AMB,S,SI_6,3.15864114,2.615987764
ELEV,S,SI_1,7.475277984,5.559966855
XHI,M,M9_9,4.232624055,3.937273797
HI,S,SI_2,9.896385587,8.523202898
XHI,M,M9_1,4.892338806,4.432710402
ELEV,M,M9_8,9.015120234,6.609181534
XHI,S,SI_5,9.893599125,7.898343771
HI,C,C_3,6.333884106,5.372799216
AMB,M,M9_4,2.076591154,1.62180053
AMB,S,SI_4,2.492766735,1.635570269
ELEV,S,SI_11,7.051089029,6.422627358
AMB,C,C_13,7.208207732,5.685604258
XHI,C,C_15,9.118583091,6.442507264
HI,C,C_6,3.861839852,4.500240612
AMB,C,C_12,4.097996338,2.767016261
AMB,S,SI_9,4.691779147,4.00628201
HI,M,M9_5,6.448607654,5.71680383
XHI,M,M9_6,8.694886832,7.375514505
ELEV,S,SI_12,6.278106909,4.452923007
ELEV,C,C_11,4.547695022,4.467273718
HI,S,SI_15,5.449453104,4.540560783
ELEV,C,C_14,4.229847863,3.858428511
XHI,C,C_16,4.86399617,4.379850202
