date,ta_umol,treatment
2/20/2024,2743.524793,ambient
2/20/2024,2769.216409,ambient
2/20/2024,2706.662718,ambient
2/20/2024,2876.251331,ambient
2/20/2024,2547.803475,ambient
2/20/2024,2624.682656,ambient
2/20/2024,2524.447167,ambient
2/20/2024,2399.174592,ambient
2/20/2024,2415.77973,ambient
2/20/2024,2425.520913,ambient
2/20/2024,2432.039491,ambient
2/20/2024,2513.280603,ambient
2/23/2024,2430.692982,ambient
2/23/2024,2340.432447,ambient
2/23/2024,2350.984652,ambient
2/23/2024,2467.674423,ambient
2/23/2024,2435.47935,ambient
2/23/2024,2410.657556,ambient
2/23/2024,3387.410539,ambient
2/23/2024,2603.940183,ambient
2/23/2024,2852.228431,ambient
2/23/2024,3126.012157,ambient
2/23/2024,2532.165334,ambient
2/23/2024,3097.646497,ambient
2/27/2024,2496.834338,ambient
2/27/2024,2433.196914,ambient
2/27/2024,2410.33074,ambient
2/27/2024,2493.312446,ambient
2/27/2024,2434.618928,ambient
2/27/2024,2412.580289,ambient
2/27/2024,2471.152668,ambient
2/27/2024,2351.302352,ambient
2/27/2024,2368.055216,ambient
2/27/2024,2386.545422,ambient
2/27/2024,2368.334921,ambient
2/27/2024,2491.678131,ambient
3/1/2024,2427.89683,ambient
3/1/2024,2348.432028,ambient
3/1/2024,2387.524697,ambient
3/1/2024,2500.726301,ambient
3/1/2024,2441.359838,ambient
3/1/2024,2356.777837,ambient
3/1/2024,2521.286914,ambient
3/1/2024,2320.022026,ambient
3/1/2024,2389.802313,ambient
3/1/2024,2440.443648,ambient
3/1/2024,2354.39356,ambient
3/1/2024,2525.329837,ambient
3/5/2024,2495.22174,ambient
3/5/2024,2477.146584,ambient
3/5/2024,2456.16074,ambient
3/5/2024,2535.347858,ambient
3/5/2024,2422.838551,ambient
3/5/2024,2445.059967,ambient
3/5/2024,2500.025918,ambient
3/5/2024,2406.041072,ambient
3/5/2024,2445.496202,ambient
3/5/2024,2397.059567,ambient
3/5/2024,2387.212657,ambient
3/5/2024,2513.993758,ambient
3/11/2024,2524.964029,ambient
3/11/2024,2522.758,ambient
3/11/2024,2474.287,ambient
3/11/2024,2544.8835,ambient
3/11/2024,2429.309,ambient
3/11/2024,2444.9955,ambient
3/11/2024,2522.468,ambient
3/11/2024,2510.278,ambient
3/11/2024,2470.087,ambient
3/11/2024,2469.844,ambient
3/11/2024,2422.4975,ambient
3/11/2024,2533.9285,ambient
3/19/2024,2610.609,ambient
3/19/2024,2541.158,ambient
3/19/2024,2564.128,ambient
3/19/2024,2574.517,ambient
3/19/2024,2574.3165,ambient
3/19/2024,2493.216,ambient
3/19/2024,2569.3625,ambient
3/19/2024,2560.913,ambient
3/19/2024,2516.9935,ambient
3/19/2024,2547.2105,ambient
3/19/2024,2530.0325,ambient
3/19/2024,2572.8705,ambient
2/20/2024,2765.519207,elevated
2/20/2024,2857.295746,elevated
2/20/2024,3528.814987,elevated
2/20/2024,3327.57559,elevated
2/20/2024,2541.096418,elevated
2/20/2024,2569.234366,elevated
2/20/2024,3765.788229,elevated
2/20/2024,3873.390791,elevated
2/20/2024,3820.686703,elevated
2/20/2024,3764.420975,elevated
2/20/2024,3739.782405,elevated
2/20/2024,3852.237696,elevated
2/23/2024,3275.065463,elevated
2/23/2024,3413.714134,elevated
2/23/2024,3431.709489,elevated
2/23/2024,3623.330797,elevated
2/23/2024,3452.772437,elevated
2/23/2024,3457.979093,elevated
2/23/2024,4066.868606,elevated
2/23/2024,3352.126719,elevated
2/23/2024,3498.372868,elevated
2/23/2024,4335.076629,elevated
2/23/2024,3125.954232,elevated
2/23/2024,3918.909668,elevated
2/27/2024,3760.822748,elevated
2/27/2024,3614.650603,elevated
2/27/2024,3587.985154,elevated
2/27/2024,3632.192834,elevated
2/27/2024,3610.681105,elevated
2/27/2024,3599.002722,elevated
2/27/2024,3704.438806,elevated
2/27/2024,3892.323051,elevated
2/27/2024,3820.084721,elevated
2/27/2024,3785.746081,elevated
2/27/2024,3764.233655,elevated
2/27/2024,3792.54489,elevated
3/1/2024,3794.551894,elevated
3/1/2024,3524.895225,elevated
3/1/2024,3588.23186,elevated
3/1/2024,3563.606433,elevated
