Date,TP,Genotype,Tag,Temp (C),wet weight (g),Salinity (ppt),calcDensity,Density of seawater (g/cm3),Density of aragonite (g/cm3),Density (seawater/aragonite),1-[Density (SW/A)],Dry weight (g)
2/19/2024,T1,SI,3,26.7,2.2285,30.7,1019.605587,1.019605587,2.93,0.347988255,0.652011745,3.417883216
2/19/2024,T1,C,2,26.7,1.8804,30.7,1019.605587,1.019605587,2.93,0.347988255,0.652011745,2.883997128
2/19/2024,T1,C,10,26.7,1.9931,30.7,1019.605587,1.019605587,2.93,0.347988255,0.652011745,3.056846775
2/19/2024,T1,C,4,26.7,2.0437,30.7,1019.605587,1.019605587,2.93,0.347988255,0.652011745,3.134452739
2/19/2024,T1,M9,7,26.7,2.4491,30.7,1019.605587,1.019605587,2.93,0.347988255,0.652011745,3.75622068
2/19/2024,T1,C,18,26.7,1.5029,30.7,1019.605587,1.019605587,2.93,0.347988255,0.652011745,2.305019828
2/19/2024,T1,SI,14,26.7,2.1705,30.7,1019.605587,1.019605587,2.93,0.347988255,0.652011745,3.328927764
2/19/2024,T1,SI,10,26.7,1.0434,30.7,1019.605587,1.019605587,2.93,0.347988255,0.652011745,1.600277921
2/19/2024,T1,M9,3,26.7,4.5005,30.7,1019.605587,1.019605587,2.93,0.347988255,0.652011745,6.902483022
2/19/2024,T1,C,7,26.7,2.4569,30.7,1019.605587,1.019605587,2.93,0.347988255,0.652011745,3.768183655
2/19/2024,T1,C,9,26.9,1.3889,31.7,1020.294846,1.020294846,2.93,0.3482234968,0.6517765032,2.130945183
2/19/2024,T1,C,1,26.9,1.7434,31.7,1020.294846,1.020294846,2.93,0.3482234968,0.6517765032,2.674843281
2/19/2024,T1,C,8,27,1.7894,31.7,1020.263359,1.020263359,2.93,0.3482127506,0.6517872494,2.745374356
2/19/2024,T1,C,5,27,1.8854,31.7,1020.263359,1.020263359,2.93,0.3482127506,0.6517872494,2.89266168
2/19/2024,T1,M9,2,27,2.0261,31.7,1020.263359,1.020263359,2.93,0.3482127506,0.6517872494,3.108529665
2/19/2024,T1,SI,8,27,1.9678,31.7,1020.263359,1.020263359,2.93,0.3482127506,0.6517872494,3.0190833
2/19/2024,T1,SI,7,27,2.7094,31.7,1020.263359,1.020263359,2.93,0.3482127506,0.6517872494,4.156877881
2/19/2024,T1,SI,6,27,2.5855,31.7,1020.263359,1.020263359,2.93,0.3482127506,0.6517872494,3.966785178
2/19/2024,T1,SI,1,27.1,1.7517,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,2.687488979
2/19/2024,T1,M9,9,27.1,3.2302,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,4.955829709
2/19/2024,T1,SI,2,27.1,1.7919,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,2.749164527
2/19/2024,T1,M9,1,27.1,2.2416,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,3.439102184
2/19/2024,T1,M9,8,27.1,1.1302,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,1.733972738
2/19/2024,T1,SI,5,27.1,2.1136,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,3.242722331
2/19/2024,T1,C,3,27.1,1.9165,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,2.940328041
2/19/2024,T1,M9,4,27.1,0.824,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,1.264195307
2/19/2024,T1,SI,4,27.1,3.5369,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,5.426374248
2/19/2024,T1,SI,11,27.1,0.8856,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,1.358703111
2/19/2024,T1,C,13,27.1,1.0505,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,1.611695594
2/19/2024,T1,C,15,27.1,2.0075,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,3.079941843
2/19/2024,T1,C,6,27.1,1.7191,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,2.637473485
2/19/2024,T1,C,12,27.1,1.8749,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,2.876504588
2/19/2024,T1,SI,9,27.1,1.8176,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,2.788593919
2/19/2024,T1,M9,5,27.1,0.7633,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,1.171068298
2/19/2024,T1,M9,6,27.1,1.1993,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,1.839987174
2/19/2024,T1,SI,12,27.1,1.8061,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,2.770950417
2/19/2024,T1,C,11,27.1,2.1415,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,3.285527002
2/19/2024,T1,SI,15,27.1,1.4242,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,2.185032714
2/19/2024,T1,C,14,27.1,1.7718,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,2.718326753
2/19/2024,T1,C,16,27.1,1.9497,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,2.991264065
3/8/2024,T2,SI,3,25.9,2.5367,32.7,1021.358887,1.021358887,2.93,0.3485866508,0.6514133492,3.894148014
3/8/2024,T2,C,2,25.9,2.0788,32.7,1021.358887,1.021358887,2.93,0.3485866508,0.6514133492,3.191214921
3/8/2024,T2,C,10,25.9,2.2844,32.8,1021.434252,1.021434252,2.93,0.3486123726,0.6513876274,3.506974808
3/8/2024,T2,C,4,25.9,2.2667,32.8,1021.434252,1.021434252,2.93,0.3486123726,0.6513876274,3.479802048
3/8/2024,T2,M9,7,25.9,2.6798,32.6,1021.283526,1.021283526,2.93,0.3485609305,0.6514390695,4.113661776
3/8/2024,T2,C,18,26,1.5562,32.7,1021.328046,1.021328046,2.93,0.3485761249,0.6514238751,2.388920731
3/8/2024,T2,SI,14,26,2.382,32.8,1021.403398,1.021403398,2.93,0.3486018423,0.6513981577,3.656749673
3/8/2024,T2,SI,10,26,1.2504,32.8,1021.403398,1.021403398,2.93,0.3486018423,0.6513981577,1.919563304
3/8/2024,T2,M9,3,26,4.6273,32.8,1021.403398,1.021403398,2.93,0.3486018423,0.6513981577,7.103643057
