treatment,order,geno,tag,beaker,gr_t0t1,gr_t1t2,gr_t2t3,gr_t0t3,gr_t1t3
HI,1,S,SI_3,1,0.9393620725,1.019738522,0.5700509303,0.8558336837,0.815335071
XHI,2,C,C_2,2,0.6581906433,0.8950472067,-0.564820517,0.6742550936,0.6864946748
HI,3,C,C_10,4,1.046041104,1.084107728,0.4974709228,0.8920951145,0.8174546347
ELEV,4,C,C_4,5,0.9889790321,0.9894318349,0.43869951,0.8843579434,0.8199757349
HI,5,M,M9_7,6,0.9681939762,0.7972474183,0.2484795193,0.6850765294,0.5478074642
AMB,6,C,C_18,7,0.6563536189,0.2211281993,0.01035291039,0.3467806851,0.1562742643
ELEV,7,S,SI_14,8,0.5601290114,0.7799044322,0.6233769131,0.660224442,0.7087555599
XHI,8,S,SI_10,9,0.7830150224,1.324330061,0.8004088881,0.9871900973,1.086184073
AMB,9,M,M9_3,10,0.4303411973,0.4295317658,0.1141598963,0.3332536609,0.286180916
AMB,10,C,C_7,12,0.4968411122,0.5659324985,-0.4427302949,0.3115668141,0.2056957866
ELEV,11,C,C_9,14,1.068001895,0.9387310795,0.395734242,0.8147184364,0.6919143352
HI,12,C,C_1,15,1.060277717,1.020785313,0.6895547977,0.9322836954,0.8702259878
AMB,13,C,C_8,16,0.7297988937,0.4168773964,0.2783468115,0.4766485226,0.3539089487
XHI,14,C,C_5,17,0.9351161019,1.028941833,0.8688240692,0.9492892176,0.9561610313
ELEV,15,M,M9_2,18,0.9675579118,0.80119996,0.2488334142,0.7361559093,0.6039261937
HI,16,S,SI_8,19,0.976196948,0.7965885579,0.4320678639,0.7436482279,0.6308973334
XHI,17,S,SI_7,20,0.929638841,0.7310131163,0.5561657629,0.7423457958,0.6515370466
AMB,18,S,SI_6,21,0.660863904,0.5980350615,0.3675029059,0.5479795338,0.493247718
ELEV,19,S,SI_1,23,0.8709004054,0.8613745007,0.3736308468,0.7151757184,0.6396728398
XHI,20,M,M9_9,24,0.8182163704,0.873919135,0.733240295,0.8126655262,0.8099742077
HI,21,S,SI_2,25,0.6554214494,1.410992851,0.9766120133,1.031301933,1.213547016
XHI,22,M,M9_1,26,0.5080938045,0.655267929,0.5160723444,0.5646001788,0.5919972087
ELEV,23,M,M9_8,28,0.5664922177,1.185750894,0.487589391,0.7698210703,0.8684047565
XHI,24,S,SI_5,29,0.6925024462,1.277116388,0.707982567,0.9119974005,1.018419197
HI,25,C,C_3,30,0.6226326298,0.8406391757,0.5570227943,0.6826320235,0.7117226387
AMB,26,M,M9_4,31,0.3333503146,0.2705699689,0.1374007659,0.2503035911,0.210038513
AMB,27,S,SI_4,32,0.3126278958,0.4998496048,0.1189862927,0.3221251757,0.3267299175
ELEV,28,S,SI_11,34,0.3752021565,0.9574405878,0.7648074827,0.7083525985,0.8698800855
AMB,29,C,C_13,35,0.5017688047,0.7171549331,0.381166323,0.5439711126,0.5644328376
XHI,30,C,C_15,36,0.8265732807,1.510774874,0.531730236,0.9876545666,1.065754584
HI,31,C,C_6,37,0.4235323921,0.455080916,0.6151948513,0.4937938271,0.5278599775
AMB,32,C,C_12,38,0.3779076616,0.6428222613,0.1815333869,0.4151086549,0.4331455002
AMB,33,S,SI_9,39,0.3436431965,0.7626334527,0.513472595,0.5495465759,0.6493785174
HI,34,M,M9_5,41,0.4537657431,0.7067668827,0.5273324427,0.5692253555,0.6252057736
XHI,35,M,M9_6,42,0.4545681373,0.930014608,0.6167457806,0.6788681602,0.7876196865
ELEV,36,S,SI_12,43,0.5241320426,0.9274383876,0.3318471835,0.6134226819,0.656715113
ELEV,37,C,C_11,45,0.5610565399,0.7366871223,0.6351677857,0.6525074648,0.7221843599
HI,38,S,SI_15,46,0.4336348592,0.7425639921,0.4667309494,0.5572504866,0.6171853363
ELEV,39,C,C_14,47,0.3878893338,0.6250471326,0.4998867162,0.5092934382,0.5681560343
XHI,40,C,C_16,48,0.2769129974,0.6787064617,0.5260104486,0.5007649183,0.609299183
