<<<<<<< HEAD
date,bottle_samp,beaker,tp,sal,dic,ta_rep1,ta_rep2,calc_avg_ta,treat,diff,delta,precip,temp,dbar
2/7/2024,160,7,T0,35.59860051,1977.861481,2287.012069,2290.978309,2288.995189,amb,3.96624,4,a,27,1
2/7/2024,163,10,T0,35.62515188,1993.844627,2303.729389,2306.992753,2305.361071,amb,3.263364,4,a,27,1
2/7/2024,165,12,T0,35.6798341,1997.101906,2334.304194,2332.680332,2333.492263,amb,1.623862,2,a,27,1
2/7/2024,169,16,T0,35.60418805,1977.632217,2285.717652,2286.096118,2285.906885,amb,0.378466,1,a,27,1
2/7/2024,174,21,T0,35.73496228,1995.771511,2305.843566,2301.186456,2303.515011,amb,4.65711,5,a,27,1
2/7/2024,184,31,T0,35.73234162,2105.350394,2423.576375,2422.270166,2422.923271,amb,1.306209,2,a,27,1
2/7/2024,185,32,T0,35.67231962,2029.888951,2325.076902,2327.488455,2326.282679,amb,2.411553,3,a,27,1
2/7/2024,188,35,T0,35.69424613,2009.944888,2334.02051,2335.026304,2334.523407,amb,1.005794,2,a,27,1
2/7/2024,191,38,T0,35.60087447,2030.128356,2367.538113,2366.493708,2367.015911,amb,1.044405,2,a,27,1
2/7/2024,192,39,T0,35.66969922,2046.970828,2382.901897,2384.628351,2383.765124,amb,1.726454,2,a,27,1
2/13/2024,262,7,T2,34.88216836,2099.371413,2392.665876,2390.394486,2391.530181,amb,2.27139,3,a,27,1
2/13/2024,265,10,T2,34.92146791,2107.009314,2409.456135,2412.150711,2410.803423,amb,2.694576,3,a,27,1
2/13/2024,267,12,T2,34.80572886,2111.206732,2407.459541,2408.613808,2408.036675,amb,1.154267,2,a,27,1
2/13/2024,271,16,T2,34.77164739,2031.085159,2362.257864,2354.393072,2358.325468,amb,7.864792,8,a,27,1
2/13/2024,276,21,T2,34.87754828,2066.702915,2400.108657,2397.150864,2398.629761,amb,2.957793,3,a,27,1
2/13/2024,286,31,T2,34.69989483,2184.031623,2490.903671,2489.995174,2490.449423,amb,0.908497,1,a,27,1
2/13/2024,287,32,T2,34.72838924,2164.198154,2469.085096,2470.017566,2469.551331,amb,0.93247,1,a,27,1
2/13/2024,290,35,T2,34.69685948,2141.418464,2475.809001,2475.409675,2475.609338,amb,0.399326,1,a,27,1
2/13/2024,293,38,T2,34.66939922,2172.38984,2475.545085,2475.923151,2475.734118,amb,0.378066,1,a,27,1
2/13/2024,294,39,T2,34.69299545,2186.771476,2483.042616,2487.804596,2485.423606,amb,4.76198,5,a,27,1
2/20/2024,356,7,T4,33.97303266,2368.628468,2743.708407,2743.341179,2743.524793,amb,0.367228,1,a,27,1
2/20/2024,357,10,T4,34.07533336,2386.109378,2769.425925,2769.006892,2769.216409,amb,0.419033,1,a,27,1
2/20/2024,358,12,T4,34.04385681,2346.108062,2706.737837,2706.587598,2706.662718,amb,0.150239,1,a,27,1
2/20/2024,360,16,T4,34.06056288,2103.261075,2548.633535,2546.973415,2547.803475,amb,1.66012,2,a,27,1
2/20/2024,361,21,T4,34.06518504,2238.84364,2622.236724,2627.128588,2624.682656,amb,4.891864,5,a,27,1
2/20/2024,362,31,T4,34.28264058,2179.828589,2524.180544,2524.713789,2524.447167,amb,0.533245,1,a,27,1
2/20/2024,363,32,T4,34.23401951,2090.991947,2400.924807,2397.424376,2399.174592,amb,3.500431,4,a,27,1
2/20/2024,364,35,T4,34.25106763,2101.957006,2416.886997,2414.672462,2415.77973,amb,2.214535,3,a,27,1
2/20/2024,365,38,T4,34.21697123,2110.330182,2424.506238,2426.535588,2425.520913,amb,2.02935,3,a,27,1
2/20/2024,366,39,T4,34.22056138,2097.94095,2432.323536,2431.755446,2432.039491,amb,0.56809,1,a,27,1
2/27/2024,456,7,T6,35.39419033,2154.435873,2496.112611,2497.556064,2496.834338,amb,1.443453,2,a,27,1
2/27/2024,457,10,T6,35.2621816,2109.024273,2433.399996,2432.993832,2433.196914,amb,0.406164,1,a,27,1
2/27/2024,458,12,T6,35.31853189,2077.653804,2409.457392,2411.204087,2410.33074,amb,1.746695,2,a,27,1
2/27/2024,460,16,T6,35.25397271,2076.141873,2434.018743,2435.219113,2434.618928,amb,1.20037,2,a,27,1
2/27/2024,461,21,T6,35.32997985,2084.697268,2411.865598,2413.294979,2412.580289,amb,1.429381,2,a,27,1
2/27/2024,462,31,T6,35.27135502,2143.023382,2470.338622,2471.966713,2471.152668,amb,1.628091,2,a,27,1
2/27/2024,463,32,T6,35.25528321,2060.741267,2351.449367,2351.155336,2351.302352,amb,0.294031,1,a,27,1
2/27/2024,464,35,T6,35.29687255,2064.474182,2366.708776,2369.401656,2368.055216,amb,2.69288,3,a,27,1
2/27/2024,465,38,T6,35.31984234,2068.4534,2386.825134,2386.265709,2386.545422,amb,0.559425,1,a,27,1
2/27/2024,466,39,T6,35.24121362,2052.647151,2367.318288,2369.351553,2368.334921,amb,2.033265,3,a,27,1
3/5/2024,556,7,T8,34.24319929,2183.485736,2495.642687,2494.800792,2495.22174,amb,0.841895,1,a,27,1
3/5/2024,557,10,T8,34.28954065,2176.584095,2477.104716,2477.188452,2477.146584,amb,0.083736,1,a,27,1
3/5/2024,558,12,T8,34.27860658,2158.367466,2457.33815,2454.98333,2456.16074,amb,2.35482,3,a,27,1
3/5/2024,560,16,T8,34.42230956,2135.897065,2423.261222,2422.41588,2422.838551,amb,0.845342,1,a,27,1
3/5/2024,561,21,T8,34.4989731,2145.650531,2445.383882,2444.736052,2445.059967,amb,0.64783,1,a,27,1
3/5/2024,562,31,T8,34.29181883,2199.090495,2499.601756,2500.450079,2500.025918,amb,0.848323,1,a,27,1
3/5/2024,563,32,T8,34.29147466,2149.162733,2407.123517,2404.958626,2406.041072,amb,2.164891,3,a,27,1
3/5/2024,564,35,T8,34.33149794,2161.483102,2446.029271,2444.963132,2445.496202,amb,1.066139,2,a,27,1
3/5/2024,565,38,T8,34.26845978,2131.388889,2396.824619,2397.294514,2397.059567,amb,0.469895,1,a,27,1
3/5/2024,566,39,T8,34.21993815,2116.626002,2387.395595,2387.029718,2387.212657,amb,0.365877,1,a,27,1
3/11/2024,606,7,T9,33.75039349,2064.614279,2526.112057,2523.816,2524.964029,amb,2.296057,3,a,27,1
3/11/2024,607,10,T9,33.74873852,2050.232974,2523.375,2522.141,2522.758,amb,1.234,2,a,27,1
3/11/2024,608,12,T9,33.70938591,2020.606099,2473.125,2475.449,2474.287,amb,2.324,3,a,27,1
3/11/2024,610,16,T9,33.71759967,1963.231181,2428.115,2430.503,2429.309,amb,2.388,3,a,27,1
3/11/2024,611,21,T9,33.74777001,2023.04218,2444.197,2445.794,2444.9955,amb,1.597,2,a,27,1
3/11/2024,612,31,T9,33.86451153,2174.308183,2521.782,2523.154,2522.468,amb,1.372,2,a,27,1
3/11/2024,613,32,T9,33.78187502,2053.182187,2510.406,2510.15,2510.278,amb,0.256,1,a,27,1
3/11/2024,614,35,T9,33.81694776,2050.11354,2470.107,2470.067,2470.087,amb,0.04,1,a,27,1
3/11/2024,615,38,T9,33.89827092,1970.524201,2469.235,2470.453,2469.844,amb,1.218,2,a,27,1
3/11/2024,616,39,T9,33.76613432,1919.597101,2423.046,2421.949,2422.4975,amb,1.097,2,a,27,1
3/19/2024,656,10,T10,32.96580941,2186.006956,2539.85,2542.466,2541.158,amb,2.616,3,a,27,1
3/19/2024,657,12,T10,32.96940445,2224.957015,2563.51,2564.746,2564.128,amb,1.236,2,a,27,1
3/19/2024,659,16,T10,32.95365704,2218.647631,2573.736,2574.897,2574.3165,amb,1.161,2,a,27,1
3/19/2024,660,21,T10,33.26367467,2178.832339,2492.139,2494.293,2493.216,amb,2.154,3,a,27,1
3/19/2024,661,31,T10,32.79126765,2274.328707,2568.266,2570.459,2569.3625,amb,2.193,3,a,27,1
3/19/2024,662,32,T10,32.50611398,2222.810747,2559.75,2562.076,2560.913,amb,2.326,3,a,27,1
3/19/2024,663,35,T10,32.4920163,2201.343176,2516.447,2517.54,2516.9935,amb,1.093,2,a,27,1
3/19/2024,664,38,T10,32.50348879,2223.095332,2546.586,2547.835,2547.2105,amb,1.249,2,a,27,1
3/19/2024,665,39,T10,32.67280642,2215.252821,2529.605,2530.46,2530.0325,amb,0.855,1,a,27,1
3/19/2024,691,7,T10,32.93168971,2199.75483,2615.517,2605.701,2610.609,amb,9.816,10,a,27,1
2/7/2024,158,5,T0,35.52915602,2849.528113,3474.168157,3477.051189,3475.609673,elev,2.883032,3,a,27,1
2/7/2024,161,8,T0,35.49901892,2903.37963,3535.347535,3534.804885,3535.07621,elev,0.54265,1,a,27,1
2/7/2024,167,14,T0,35.55701855,2828.118746,3423.502849,3422.597497,3423.050173,elev,0.905352,1,a,27,1
2/7/2024,171,18,T0,35.52688184,2865.22972,3463.216055,3460.197796,3461.706926,elev,3.018259,4,a,27,1
2/7/2024,176,23,T0,35.56846455,2856.953287,3484.933856,3485.505532,3485.219694,elev,0.571676,1,a,27,1
2/7/2024,181,28,T0,35.54129511,2992.538488,3628.278447,3631.188108,3629.733278,elev,2.909661,3,a,27,1
2/7/2024,187,34,T0,35.57239535,2984.594519,3683.994375,3683.01634,3683.505358,elev,0.978035,1,a,27,1
2/7/2024,196,43,T0,35.53963838,2985.284333,3685.141802,3680.815417,3682.97861,elev,4.326385,5,a,27,1
2/7/2024,198,45,T0,35.56846455,2942.891069,3617.764369,3624.171754,3620.968062,elev,6.407385,7,a,27,1
2/7/2024,200,47,T0,35.60384149,2970.071859,3659.458481,3653.891602,3656.675042,elev,5.566879,6,a,27,1
2/13/2024,260,5,T2,34.74411959,3004.76356,3609.019168,3604.952384,3606.985776,elev,4.066784,5,a,27,1
2/13/2024,263,8,T2,34.74708631,3039.287089,3655.034602,3660.516844,3657.775723,elev,5.482242,6,a,27,1
2/13/2024,269,14,T2,34.85334817,2631.864335,3126.055474,3125.816141,3125.935808,elev,0.239333,1,a,27,1
2/13/2024,273,18,T2,34.72707837,2940.053374,3581.324582,3572.150036,3576.737309,elev,9.174546,10,a,27,1
2/13/2024,278,23,T2,34.70479346,2956.151799,3589.1078,3586.912914,3588.010357,elev,2.194886,3,a,27,1
2/13/2024,283,28,T2,34.61696208,3090.489089,3753.079254,3748.830662,3750.954958,elev,4.248592,5,a,27,1
2/13/2024,289,34,T2,34.57894423,3161.439289,3858.063542,3858.638559,3858.351051,elev,0.575017,1,a,27,1
2/13/2024,298,43,T2,34.55962418,3096.731542,3775.241546,3775.270059,3775.255803,elev,0.028513,1,a,27,1
2/13/2024,300,45,T2,34.56093517,3102.021496,3786.221753,3787.058614,3786.640184,elev,0.836861,1,a,27,1
2/13/2024,302,47,T2,34.57632228,3134.061048,3809.431654,3809.905956,3809.668805,elev,0.474302,1,a,27,1
