order,beaker,tank,treatment,geno,tag,coral,avg_ta,ta_sd,ta_se,gr_t0t3,gr_t1t3,gr_t0t1,gr_t1t2,gr_t2t3,le_t0t1,le_t0t1e,le_t1t2,le_t1t2e,le_t2t3,le_t2t3e,le_t0t3,le_t0t3e,le_t1t3,le_t1t3e
1,1,1,HI,SI,3,SI3,4255.935,464.27998,189.54151,0.8558336837,0.815335071,0.9393620725,1.019738522,0.5700509303,0.1834375,0.1821875,0.1313888889,0.1798888889,-0.0396,-0.07226666667,0.09604081633,0.1034489796,0.05366666667,0.06527272727
2,2,1,XHI,C,2,C2,4278.954,398.10298,178.03707,0.6742550936,0.6864946748,0.6581906433,0.8950472067,-0.564820517,0.1485,0.14725,0.1726666667,0.2211666667,-0.4913333333,-0.6546666667,0.1083783784,0.1181891892,0.07780952381,0.09604761905
3,4,1,HI,C,10,C10,4031.964,875.8548,291.9516,0.8920951145,0.8174546347,1.046041104,1.084107728,0.4974709228,0.26475,0.2635,0.1522222222,0.2007222222,-0.0176,-0.05026666667,0.1369795918,0.1443877551,0.07503030303,0.08663636364
4,5,1,ELEV,C,4,C4,3558.798,288.49437,86.98433,0.8843579434,0.8199757349,0.9889790321,0.9894318349,0.43869951,0.196,0.19475,0.0835,0.132,-0.20425,-0.2655,0.07154761905,0.08019047619,-0.005038461538,0.009692307692
5,6,1,HI,M9,7,M97,3854.924,948.05789,316.0193,0.6850765294,0.5478074642,0.9681939762,0.7972474183,0.2484795193,0.1970625,0.1958125,0.1516666667,0.2001666667,-0.095,-0.1276666667,0.09097959184,0.0983877551,0.03954545455,0.05115151515
6,7,1,AMB,C,18,C18,2447.786,134.1527,42.42281,0.3467806851,0.1562742643,0.6563536189,0.2211281993,0.01035291039,0.132375,0.131125,0.01061111111,0.05911111111,-0.05225,-0.1135,0.04502380952,0.05366666667,-0.008730769231,0.006
7,8,1,ELEV,SI,14,SI14,3622.12,171.25591,60.54811,0.660224442,0.7087555599,0.5601290114,0.7799044322,0.6233769131,0.180625,0.179375,0.03311111111,0.08161111111,0.05266666667,0.02,0.08726530612,0.09467346939,0.042,0.05360606061
8,9,1,XHI,SI,10,SI10,4201.291,826.76712,312.4886,0.9871900973,1.086184073,0.7830150224,1.324330061,0.8004088881,0.154625,0.153375,0.05027777778,0.09877777778,0.01153333333,-0.02113333333,0.07248979592,0.07989795918,0.03266666667,0.04427272727
9,10,1,AMB,M9,3,M93,2438.993,139.31666,42.00555,0.3332536609,0.286180916,0.4303411973,0.4295317658,0.1141598963,0.0884375,0.0871875,-0.0595,-0.011,0.09406666667,0.0614,0.03581632653,0.0432244898,0.0103030303,0.02190909091
10,12,1,AMB,C,7,C7,2434.279,116.75569,35.20316,0.3115668141,0.2056957866,0.4968411122,0.5659324985,-0.4427302949,0.2353125,0.2340625,0.07322222222,0.1217222222,-0.0149,-0.0639,0.1121363636,0.1203863636,0.04175,0.05542857143
11,14,2,ELEV,C,9,C9,3585.437,279.18321,84.17691,0.8147184364,0.6919143352,1.068001895,0.9387310795,0.395734242,0.183125,0.181875,0.1058333333,0.1543333333,-0.0296,-0.06226666667,0.0896122449,0.09702040816,0.04427272727,0.05587878788
12,15,2,HI,C,1,C1,3974.576,904.3194,319.72519,0.9322836954,0.8702259878,1.060277717,1.020785313,0.6895547977,0.1645625,0.1633125,0.09905555556,0.1475555556,0.08626666667,0.0536,0.1165306122,0.1239387755,0.09324242424,0.1048484848
13,16,2,AMB,C,8,C8,2423.25,97.41401,30.80502,0.4766485226,0.3539089487,0.7297988937,0.4168773964,0.2783468115,0.1815625,0.1803125,0.03911111111,0.08761111111,-0.007666666667,-0.04033333333,0.07130612245,0.07871428571,0.01784848485,0.02945454545
14,17,2,XHI,C,5,C5,3958.021,834.46056,315.39645,0.9492892176,0.9561610313,0.9351161019,1.028941833,0.8688240692,0.12175,0.1205,0.1781666667,0.2266666667,0.0009333333333,-0.03173333333,0.1054897959,0.1128979592,0.09760606061,0.1092121212
15,18,2,ELEV,M9,2,M92,3478.65,382.148,120.84581,0.7361559093,0.6039261937,0.9675579118,0.80119996,0.2488334142,0.350375,0.349125,0.08772222222,0.1362222222,-0.0641,-0.1131,0.1487272727,0.1569772727,0.0335,0.04717857143
16,19,2,HI,SI,8,SI8,4391.379,458.4525,187.16245,0.7436482279,0.6308973334,0.976196948,0.7965885579,0.4320678639,0.1921875,0.1909375,0.02688888889,0.07538888889,0.04226666667,0.0096,0.08557142857,0.09297959184,0.03387878788,0.04548484848
17,20,2,XHI,SI,7,SI7,4497.356,454.27105,151.42368,0.7423457958,0.6515370466,0.929638841,0.7310131163,0.5561657629,0.250875,0.249625,0.02961111111,0.07811111111,0.02006666667,-0.0126,0.09893877551,0.1063469388,0.02527272727,0.03687878788
