order,beaker,tank,treatment,geno,tag,Coral,gr_t0t3,gr_t1t3,gr_t0t1,gr_t1t2,gr_t2t3,le_t0t1,le_t0t1e,le_t1t2,le_t1t2e,le_t2t3,le_t2t3e,le_t0t3,le_t0t3e,le_t1t3,le_t1t3e
12,15,2,HI,C,1,C1,0.932284,0.870226,1.060278,1.020785,0.689555,0.164563,0.163313,0.099056,0.147556,0.086267,0.0536,0.116531,0.123939,0.093242,0.104848
3,4,1,HI,C,10,C10,0.892095,0.817455,1.046041,1.084108,0.497471,0.26475,0.2635,0.152222,0.200722,-0.0176,-0.05027,0.13698,0.144388,0.07503,0.086636
37,45,4,ELEV,C,11,C11,0.652507,0.722184,0.561057,0.736687,0.635168,0.246875,0.245625,0.143278,0.191778,-0.19967,-0.363,0.16027,0.170081,0.094286,0.112524
32,38,4,AMB,C,12,C12,0.415109,0.433146,0.377908,0.642822,0.181533,0.08425,0.083,0.076111,0.124611,0.067667,0.035,0.076184,0.083592,0.072273,0.083879
29,35,3,AMB,C,13,C13,0.543971,0.564433,0.501769,0.717155,0.381166,0.132688,0.131438,0.085111,0.133611,0.003467,-0.0292,0.075653,0.083061,0.048,0.059606
39,47,4,ELEV,C,14,C14,0.509293,0.568156,0.387889,0.625047,0.499887,0.164313,0.163063,0.074222,0.122722,0.093133,0.060467,0.109429,0.116837,0.082818,0.094424
30,36,3,XHI,C,15,C15,0.987655,1.065755,0.826573,1.510775,0.53173,0.157,0.15575,0.16,0.2085,0.0102,-0.02247,0.113163,0.120571,0.091909,0.103515
40,48,4,XHI,C,16,C16,0.500765,0.609299,0.276913,0.678706,0.52601,0.124938,0.123688,0.092444,0.140944,-0.17533,-0.208,0.021082,0.02849,-0.02927,-0.01767
6,7,1,AMB,C,18,C18,0.346781,0.156274,0.656354,0.221128,0.010353,0.132375,0.131125,0.010611,0.059111,-0.05225,-0.1135,0.045024,0.053667,-0.00873,0.006
2,2,1,XHI,C,2,C2,0.674255,0.686495,0.658191,0.895047,-0.56482,0.1485,0.14725,0.172667,0.221167,-0.49133,-0.65467,0.108378,0.118189,0.07781,0.096048
25,30,3,HI,C,3,C3,0.682632,0.711723,0.622633,0.840639,0.557023,0.219875,0.218625,0.108833,0.157333,0.058333,0.025667,0.129633,0.137041,0.085879,0.097485
4,5,1,ELEV,C,4,C4,0.884358,0.819976,0.988979,0.989432,0.4387,0.196,0.19475,0.0835,0.132,-0.20425,-0.2655,0.071548,0.08019,-0.00504,0.009692
14,17,2,XHI,C,5,C5,0.949289,0.956161,0.935116,1.028942,0.868824,0.12175,0.1205,0.178167,0.226667,0.000933,-0.03173,0.10549,0.112898,0.097606,0.109212
31,37,4,HI,C,6,C6,0.493794,0.52786,0.423532,0.455081,0.615195,0.077125,0.075875,0.018111,0.066611,-0.0354,-0.06807,0.021,0.028408,-0.00621,0.005394
10,12,1,AMB,C,7,C7,0.311567,0.205696,0.496841,0.565932,-0.44273,0.235313,0.234063,0.073222,0.121722,-0.0149,-0.0639,0.112136,0.120386,0.04175,0.055429
13,16,2,AMB,C,8,C8,0.476649,0.353909,0.729799,0.416877,0.278347,0.181563,0.180313,0.039111,0.087611,-0.00767,-0.04033,0.071306,0.078714,0.017848,0.029455
11,14,2,ELEV,C,9,C9,0.814718,0.691914,1.068002,0.938731,0.395734,0.183125,0.181875,0.105833,0.154333,-0.0296,-0.06227,0.089612,0.09702,0.044273,0.055879
22,26,3,XHI,M9,1,M1,0.5646,0.591997,0.508094,0.655268,0.516072,0.171438,0.170188,0.070667,0.119167,0.026867,-0.0058,0.090163,0.097571,0.050758,0.062364
15,18,2,ELEV,M9,2,M2,0.736156,0.603926,0.967558,0.8012,0.248833,0.350375,0.349125,0.087722,0.136222,-0.0641,-0.1131,0.148727,0.156977,0.0335,0.047179
9,10,1,AMB,M9,3,M3,0.333254,0.286181,0.430341,0.429532,0.11416,0.088438,0.087188,-0.0595,-0.011,0.094067,0.0614,0.035816,0.043224,0.010303,0.021909
26,31,3,AMB,M9,4,M4,0.250304,0.210039,0.33335,0.27057,0.137401,0.094625,0.093375,0.013444,0.061944,0.029867,-0.0028,0.04498,0.052388,0.020909,0.032515
34,41,4,HI,M9,5,M5,0.569225,0.625206,0.453766,0.706767,0.527332,6.25E-05,-0.00119,0.029278,0.077778,0.0146,-0.01807,0.015245,0.022653,0.022606,0.034212
35,42,4,XHI,M9,6,M6,0.678868,0.78762,0.454568,0.930015,0.616746,0.03525,0.034,0.182889,0.231389,0.070067,0.0374,0.100143,0.107551,0.131606,0.143212
5,6,1,HI,M9,7,M7,0.685077,0.547807,0.968194,0.797247,0.24848,0.197063,0.195813,0.151667,0.200167,-0.095,-0.12767,0.09098,0.098388,0.039545,0.051152
23,28,3,ELEV,M9,8,M8,0.769821,0.868405,0.566492,1.185751,0.487589,0.149563,0.148313,0.207778,0.256278,-0.01593,-0.0486,0.120286,0.127694,0.106091,0.117697
20,24,2,XHI,M9,9,M9,0.812666,0.809974,0.818216,0.873919,0.73324,0.2085,0.20725,0.053111,0.101611,0.0208,-0.01187,0.093959,0.101367,0.038424,0.05003
19,23,2,ELEV,SI,1,S1,0.715176,0.639673,0.8709,0.861375,0.373631,0.125563,0.124313,0.029611,0.078111,0.012333,-0.02033,0.055653,0.063061,0.021758,0.033364
8,9,1,XHI,SI,10,S10,0.98719,1.086184,0.783015,1.32433,0.800409,0.154625,0.153375,0.050278,0.098778,0.011533,-0.02113,0.07249,0.079898,0.032667,0.044273
28,34,3,ELEV,SI,11,S11,0.708353,0.86988,0.375202,0.957441,0.764807,0.087438,0.086188,-0.00333,0.045167,0.0202,-0.01247,0.03351,0.040918,0.007364,0.01897
36,43,4,ELEV,SI,12,S12,0.613423,0.656715,0.524132,0.927438,0.331847,0.200125,0.198875,0.093167,0.141667,0.0076,-0.02507,0.101898,0.109306,0.054273,0.065879
7,8,1,ELEV,SI,14,S14,0.660224,0.708756,0.560129,0.779904,0.623377,0.180625,0.179375,0.033111,0.081611,0.052667,0.02,0.087265,0.094673,0.042,0.053606
38,46,4,HI,SI,15,S15,0.55725,0.617185,0.433635,0.742564,0.466731,0.17025,0.169,0.050222,0.098722,0.0374,0.004733,0.08549,0.092898,0.044394,0.056
21,25,3,HI,SI,2,S2,1.031302,1.213547,0.655421,1.410993,0.976612,0.1075,0.10625,0.100278,0.148778,-0.01027,-0.04293,0.068796,0.076204,0.05003,0.061636
1,1,1,HI,SI,3,S3,0.855834,0.815335,0.939362,1.019739,0.570051,0.183438,0.182188,0.131389,0.179889,-0.0396,-0.07227,0.096041,0.103449,0.053667,0.065273
27,32,3,AMB,SI,4,S4,0.322125,0.32673,0.312628,0.49985,0.118986,0.175375,0.174125,0.009333,0.057833,-0.0656,-0.09827,0.040612,0.04802,-0.02473,-0.01312
24,29,3,XHI,SI,5,S5,0.911997,1.018419,0.692502,1.277116,0.707983,0.160938,0.159688,0.074611,0.123111,0.028267,-0.0044,0.088612,0.09602,0.053545,0.065152
18,21,2,AMB,SI,6,S6,0.54798,0.493248,0.660864,0.598035,0.367503,0.13475,0.1335,0.013389,0.061889,0.047867,0.0152,0.063571,0.07098,0.029061,0.040667
17,20,2,XHI,SI,7,S7,0.742346,0.651537,0.929639,0.731013,0.556166,0.250875,0.249625,0.029611,0.078111,0.020067,-0.0126,0.098939,0.106347,0.025273,0.036879
16,19,2,HI,SI,8,S8,0.743648,0.630897,0.976197,0.796589,0.432068,0.192188,0.190938,0.026889,0.075389,0.042267,0.0096,0.085571,0.09298,0.033879,0.045485
33,39,4,AMB,SI,9,S9,0.549547,0.649379,0.343643,0.762633,0.513473,0.079063,0.077813,0.038167,0.086667,0.037467,0.0048,0.051306,0.058714,0.037848,0.049455
