treatment,geno,tag,beaker,tank,gr_t0t1,gr_t0t1e,gr_t1t2,gr_t1t2e,gr_t2t3,gr_t2t3e,gr_t0t3,gr_t0t3e,gr_t1t3,gr_t1t3e
HI,S,SI_3,1,1,0.1834375,0.1821875,0.1313888889,0.1798888889,-0.0396,-0.07226666667,0.09604081633,0.1034489796,0.05366666667,0.06527272727
XHI,C,C_2,2,1,0.1485,0.14725,0.1726666667,0.2211666667,-0.4913333333,-0.6546666667,0.1083783784,0.1181891892,0.07780952381,0.09604761905
HI,C,C_10,4,1,0.26475,0.2635,0.1522222222,0.2007222222,-0.0176,-0.05026666667,0.1369795918,0.1443877551,0.07503030303,0.08663636364
ELEV,C,C_4,5,1,0.196,0.19475,0.0835,0.132,-0.20425,-0.2655,0.07154761905,0.08019047619,-0.005038461538,0.009692307692
HI,M,M9_7,6,1,0.1970625,0.1958125,0.1516666667,0.2001666667,-0.095,-0.1276666667,0.09097959184,0.0983877551,0.03954545455,0.05115151515
AMB,C,C_18,7,1,0.132375,0.131125,0.01061111111,0.05911111111,-0.05225,-0.1135,0.04502380952,0.05366666667,-0.008730769231,0.006
ELEV,S,SI_14,8,1,0.180625,0.179375,0.03311111111,0.08161111111,0.05266666667,0.02,0.08726530612,0.09467346939,0.042,0.05360606061
XHI,S,SI_10,9,1,0.154625,0.153375,0.05027777778,0.09877777778,0.01153333333,-0.02113333333,0.07248979592,0.07989795918,0.03266666667,0.04427272727
AMB,M,M9_3,10,1,0.0884375,0.0871875,-0.0595,-0.011,0.09406666667,0.0614,0.03581632653,0.0432244898,0.0103030303,0.02190909091
AMB,C,C_7,12,1,0.2353125,0.2340625,0.07322222222,0.1217222222,-0.0149,-0.0639,0.1121363636,0.1203863636,0.04175,0.05542857143
ELEV,C,C_9,14,2,0.183125,0.181875,0.1058333333,0.1543333333,-0.0296,-0.06226666667,0.0896122449,0.09702040816,0.04427272727,0.05587878788
HI,C,C_1,15,2,0.1645625,0.1633125,0.09905555556,0.1475555556,0.08626666667,0.0536,0.1165306122,0.1239387755,0.09324242424,0.1048484848
AMB,C,C_8,16,2,0.1815625,0.1803125,0.03911111111,0.08761111111,-0.007666666667,-0.04033333333,0.07130612245,0.07871428571,0.01784848485,0.02945454545
XHI,C,C_5,17,2,0.12175,0.1205,0.1781666667,0.2266666667,0.0009333333333,-0.03173333333,0.1054897959,0.1128979592,0.09760606061,0.1092121212
